,Latitude (deg),Longitude (deg),Population Estimate
75803,31.8630,-95.6526,21928.0
75832,31.9566,-95.9746,107.0
75962,31.6196,-94.6472,3242.0
75438,33.5601,-96.0496,992.0
75974,31.9342,-94.2571,3410.0
75976,31.5099,-95.0005,778.0
75965,31.7300,-94.5992,17907.0
77480,29.0860,-95.7430,8055.0
77505,29.6483,-95.1403,24223.0
77515,29.1753,-95.4531,32469.0
77519,30.2399,-94.5995,1066.0
77531,29.0551,-95.3826,16228.0
77534,29.2165,-95.2905,2256.0
77536,29.7138,-95.1170,32146.0
77538,30.0006,-94.5485,1042.0
77546,29.5208,-95.1906,53623.0
77563,29.3014,-95.0049,11027.0
75568,33.2073,-94.6991,2238.0
75975,31.8252,-94.3756,4031.0
75901,31.2671,-94.6385,30429.0
75928,30.6780,-93.7408,1198.0
75948,31.2906,-93.7695,6268.0
75954,31.9120,-94.0381,2466.0
75960,30.9214,-94.9102,653.0
75001,32.9598,-96.8385,14992.0
75013,33.1145,-96.6924,42629.0
75022,33.0286,-97.1214,27201.0
75034,33.1503,-96.8796,108525.0
75040,32.9331,-96.6213,62417.0
75050,32.7773,-96.9892,43174.0
75052,32.6589,-97.0119,95495.0
75061,32.8256,-96.9623,54520.0
75063,32.9195,-96.9774,40048.0
75078,33.2629,-96.8053,28803.0
75081,32.9494,-96.7156,40265.0
75119,32.3314,-96.5771,28598.0
75124,32.2887,-95.9906,4255.0
75146,32.5726,-96.7442,19701.0
75172,32.5976,-96.6712,4619.0
75181,32.7274,-96.5652,28263.0
75206,32.8335,-96.7717,39010.0
75007,33.0039,-96.8959,55500.0
75009,33.3338,-96.7505,14089.0
75020,33.7853,-96.6075,23232.0
75067,33.0197,-96.9914,68196.0
75080,32.9677,-96.7388,52531.0
75090,33.5911,-96.5445,25418.0
75104,32.5899,-96.9690,49171.0
75110,32.0769,-96.5223,28558.0
75140,32.6458,-95.6980,7595.0
75153,32.1364,-96.3338,441.0
75159,32.5995,-96.5584,20098.0
75161,32.7332,-96.1730,6529.0
75166,33.0146,-96.4418,4395.0
75169,32.7090,-95.9994,14142.0
75189,32.9384,-96.3070,29135.0
75207,32.7815,-96.8215,7702.0
77857,30.7865,-96.6893,792.0
77861,30.7231,-96.0782,2203.0
77868,30.3704,-96.0574,17142.0
77876,30.6753,-95.8286,123.0
77880,30.2845,-96.1802,1438.0
77905,28.7284,-97.0165,14834.0
77960,28.6614,-97.2491,65.0
77963,28.6571,-97.4661,5855.0
77978,28.6731,-96.5447,696.0
77657,30.2329,-94.1942,21345.0
77708,30.1449,-94.1443,12536.0
77833,30.2022,-96.3707,29345.0
77845,30.5564,-96.2840,66649.0
77871,31.0997,-96.1293,2738.0
77878,30.4704,-96.4802,317.0
77995,29.2266,-97.0865,10724.0
77004,29.7272,-95.3618,37294.0
77008,29.7983,-95.4191,34895.0
77006,29.7396,-95.3883,22580.0
78722,30.2919,-97.7165,7180.0
78664,30.5006,-97.6302,64686.0
78232,29.5817,-98.4742,39072.0
78235,29.3423,-98.4397,1476.0
78238,29.4738,-98.6122,25660.0
78245,29.4114,-98.7174,76518.0
78247,29.5725,-98.4099,53892.0
78253,29.4720,-98.7970,43770.0
78256,29.6261,-98.6300,11238.0
78259,29.6314,-98.4132,26338.0
78260,29.7070,-98.4786,26301.0
78339,27.8142,-97.8033,317.0
78359,27.9326,-97.2959,1977.0
78361,27.0713,-98.7851,5320.0
78369,27.4472,-99.0240,416.0
78370,27.9019,-97.5543,4952.0
78373,27.7899,-97.1104,4393.0
78377,28.3479,-97.2167,3745.0
78382,28.0791,-97.0254,21123.0
78385,27.1267,-97.7042,525.0
78002,29.2771,-98.7286,6833.0
78017,28.7423,-99.2323,6074.0
78001,28.2640,-99.2801,0.0
78007,28.3506,-98.4336,169.0
78011,28.8361,-98.6951,1688.0
78016,29.2054,-98.9481,11632.0
78076,26.9055,-99.1740,13029.0
78947,30.4162,-97.0599,4634.0
78948,30.3269,-96.9506,636.0
78957,30.0000,-97.1891,9699.0
78962,29.6507,-96.6455,5138.0
78075,28.6339,-98.2589,248.0
78117,28.9425,-97.9831,401.0
78121,29.3738,-98.0747,13276.0
78155,29.5696,-97.9385,48909.0
78660,30.4410,-97.5979,91300.0
78703,30.2897,-97.7665,20407.0
78721,30.2662,-97.6848,12110.0
78726,30.4272,-97.8435,14040.0
78704,30.2415,-97.7688,48746.0
78725,30.2459,-97.6100,8469.0
78739,30.1748,-97.8878,21040.0
78742,30.2399,-97.6581,887.0
78834,28.4230,-99.8992,8059.0
78006,29.8979,-98.7190,36056.0
